// Description: This file contains sales data for the year 2020 and part of 2021.
// Format: ID;Date;ProductID;Quantity;StoreID
INSERT INTO 1;01/01/2020;2;20;5
2;02/01/2020;3;7;5
3;03/01/2020;4;15;3
4;04/01/2020;5;19;4
5;05/01/2020;6;2;4
6;06/01/2020;7;16;3
7;07/01/2020;8;5;4
8;08/01/2020;9;16;6
9;09/01/2020;10;3;1
10;10/01/2020;11;1;2
11;11/01/2020;12;20;3
12;12/01/2020;13;9;5
13;13/01/2020;14;9;4
14;14/01/2020;15;16;4
15;15/01/2021;16;18;5
16;16/01/2021;17;13;5
17;17/01/2021;18;12;5
18;18/01/2021;19;7;3
19;19/01/2021;20;13;5
20;20/01/2021;21;2;5
21;21/01/2021;22;7;4
22;22/01/2021;23;10;5
23;23/01/2021;24;14;5
24;24/01/2021;25;4;4
25;25/01/2021;26;2;4
26;26/01/2021;27;20;2
27;27/01/2021;28;13;5
28;28/01/2021;29;9;5
29;29/01/2021;30;12;2
30;30/01/2021;31;12;4
31;31/01/2021;1;3;5

