INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (3,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (8,'F','Casado(a)',2,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (9,'F','Casado(a)',5,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (20,'F','Solteiro(a)',2,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (24,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (26,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (28,'F','Solteiro(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (30,'F','Solteiro(a)',4,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (32,'F','Solteiro(a)',2,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (36,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (39,'F','Casado(a)',4,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (41,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (42,'F','Casado(a)',3,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (43,'F','Solteiro(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (44,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (45,'F','Solteiro(a)',5,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (47,'F','Casado(a)',1,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (48,'F','Casado(a)',1,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (49,'F','Solteiro(a)',4,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (52,'F','Solteiro(a)',3,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (55,'F','Casado(a)',3,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (57,'F','Solteiro(a)',3,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (59,'F','Casado(a)',5,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (60,'F','Solteiro(a)',3,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (62,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (64,'F','Solteiro(a)',4,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (71,'F','Solteiro(a)',5,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (75,'F','Solteiro(a)',3,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (76,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (77,'F','Solteiro(a)',2,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (79,'F','Solteiro(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (80,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (81,'F','Solteiro(a)',2,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (87,'F','Solteiro(a)',4,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (91,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (93,'F','Casado(a)',5,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (96,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (99,'F','Solteiro(a)',3,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (102,'F','Casado(a)',2,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (104,'F','Casado(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (105,'F','Casado(a)',3,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (109,'F','Solteiro(a)',2,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (110,'F','Solteiro(a)',3,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (112,'F','Casado(a)',4,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (114,'F','Solteiro(a)',3,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (115,'F','Solteiro(a)',3,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (117,'F','Casado(a)',3,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (118,'F','Solteiro(a)',2,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (119,'F','Solteiro(a)',4,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (121,'F','Solteiro(a)',5,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (125,'F','Casado(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (126,'F','Solteiro(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (127,'F','Solteiro(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (128,'F','Solteiro(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (131,'F','Solteiro(a)',3,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (133,'F','Casado(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (135,'F','Casado(a)',5,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (136,'F','Casado(a)',3,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (137,'F','Casado(a)',3,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (139,'F','Casado(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (140,'F','Casado(a)',2,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (141,'F','Casado(a)',4,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (144,'F','Solteiro(a)',3,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (148,'F','Solteiro(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (154,'F','Solteiro(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (155,'F','Casado(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (156,'F','Solteiro(a)',1,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (158,'F','Casado(a)',3,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (159,'F','Casado(a)',4,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (160,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (161,'F','Casado(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (162,'F','Casado(a)',3,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (164,'F','Solteiro(a)',4,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (165,'F','Solteiro(a)',2,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (168,'F','Casado(a)',4,'Vila Prudente');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (169,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (170,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (175,'F','Solteiro(a)',1,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (177,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (178,'F','Solteiro(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (179,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (180,'F','Solteiro(a)',4,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (181,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (182,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (187,'F','Solteiro(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (188,'F','Casado(a)',4,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (190,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (191,'F','Solteiro(a)',4,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (192,'F','Casado(a)',4,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (193,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (194,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (195,'F','Solteiro(a)',4,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (197,'F','Casado(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (198,'F','Casado(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (208,'F','Casado(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (210,'F','Casado(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (211,'F','Casado(a)',3,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (213,'F','Solteiro(a)',3,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (216,'F','Solteiro(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (218,'F','Solteiro(a)',2,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (221,'F','Casado(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (224,'F','Casado(a)',3,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (225,'F','Solteiro(a)',5,'Guaianases');
